,0
3000_1m,0
4000_1m,0
5000_1m,0
6000_1m,1
3000_3m,3
4000_3m,3
5000_3m,3
6000_3m,3
3000_6m,4
4000_6m,5
5000_6m,5
6000_6m,5
3000_12m,6
4000_12m,6
5000_12m,6
6000_12m,6
