,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
91,0,1,3,7,0,0,6,7,0,1,6,7,0,2,8,7
92,0,1,3,7,0,0,6,7,0,3,7,7,0,3,8,7
93,0,1,4,7,0,1,6,7,0,3,6,7,0,2,7,7
94,0,1,7,7,0,1,7,7,0,3,7,7,0,1,8,7
95,0,1,3,7,0,0,6,7,0,2,6,7,0,2,7,7
96,0,1,3,7,0,2,5,7,0,1,7,7,0,0,6,7
97,1,2,4,7,0,2,2,7,0,2,4,7,0,1,6,7
98,0,1,4,6,0,0,8,7,0,1,7,7,0,1,6,7
99,2,4,6,7,0,0,5,7,0,2,8,7,0,1,5,7
100,0,1,4,7,0,0,8,7,0,1,7,7,0,0,7,7
101,0,0,5,7,0,0,7,7,0,0,8,7,0,0,5,7
102,2,4,6,7,0,1,5,7,0,0,4,7,0,2,6,7
103,0,0,4,7,0,0,4,7,0,2,7,7,0,0,7,7
104,0,1,4,7,0,0,7,7,0,1,7,7,0,2,8,7
105,0,1,6,7,0,1,4,7,0,1,7,7,0,0,6,7
106,1,4,6,7,0,0,7,7,0,0,7,7,0,3,7,7
107,1,4,6,6,0,1,8,7,0,1,8,7,0,2,8,7
108,2,4,6,7,0,1,8,7,0,2,8,7,0,2,7,7
109,2,4,6,7,0,1,6,7,0,2,6,7,0,1,6,7
110,1,4,6,7,0,0,7,7,0,1,8,7,0,2,8,7
111,0,2,7,7,0,0,8,7,0,3,8,7,0,0,8,7
112,1,2,4,7,0,1,7,7,0,1,8,7,0,2,8,7
113,2,2,7,7,0,2,8,7,0,3,8,7,0,1,7,7
114,2,4,6,6,0,4,8,7,0,4,8,7,0,4,8,7
115,2,4,6,7,0,2,8,7,0,2,7,7,0,5,8,7
116,2,4,6,7,0,2,8,7,0,2,8,7,0,4,8,7
117,2,4,6,7,0,2,8,7,0,2,8,7,0,3,8,7
118,0,3,8,7,0,0,8,7,0,5,8,7,0,2,8,7
119,0,2,4,7,0,1,8,7,0,2,8,7,0,3,8,7
120,0,2,6,7,0,2,7,7,0,4,7,7,1,4,7,7
121,2,4,6,7,0,4,7,7,1,2,7,7,0,2,6,7
122,2,5,6,7,0,2,8,7,0,4,8,7,0,2,8,7
123,2,4,6,7,0,4,8,7,0,2,8,7,0,2,7,7
124,0,2,8,7,0,3,8,7,0,1,8,7,0,5,8,7
125,0,1,7,7,0,1,8,7,0,2,8,7,0,2,8,7
126,0,5,8,7,1,5,7,7,0,5,7,7,2,5,6,7
127,0,2,6,7,0,2,7,7,0,4,6,7,3,4,7,7
128,2,5,6,7,0,4,8,7,0,8,8,7,0,4,7,7
129,2,5,6,6,0,1,8,7,1,2,8,7,0,5,8,7
130,2,4,6,7,0,1,8,7,0,6,8,7,0,6,8,7
131,2,4,6,7,0,4,8,7,0,4,8,7,0,4,8,7
132,4,4,6,7,1,7,8,7,4,7,8,7,4,6,8,7
133,2,5,8,7,0,2,8,7,1,6,8,7,2,6,8,7
134,2,5,6,7,0,4,8,7,1,6,8,7,0,4,8,7
135,2,4,6,7,0,4,8,7,2,5,8,7,0,4,8,7
136,2,5,6,7,0,6,8,7,0,4,7,7,1,6,7,7
137,0,5,7,7,0,6,8,7,0,6,8,7,2,6,8,7
138,2,5,8,7,2,7,8,7,5,5,7,7,6,6,8,7
139,0,5,6,7,0,6,8,7,2,5,8,7,2,6,8,7
140,4,6,6,7,0,5,8,7,2,6,8,7,0,8,8,7
141,2,5,6,7,0,5,8,7,0,4,8,7,0,6,8,7
142,2,5,6,7,0,5,8,7,0,6,8,7,1,6,8,7
143,2,4,6,7,0,7,8,7,0,5,8,7,0,5,8,7
144,5,5,6,7,2,5,7,7,5,6,7,7,6,6,7,7
145,2,5,6,7,0,5,8,7,2,6,7,7,5,5,8,7
146,2,5,6,7,2,5,8,7,1,6,8,7,2,6,8,7
147,2,6,6,7,0,7,8,7,2,5,8,7,3,8,8,7
148,4,6,6,7,0,7,8,7,0,7,8,7,1,6,8,7
149,2,5,6,7,0,5,8,7,0,5,8,7,0,7,8,7
150,6,5,7,7,4,5,8,7,5,6,7,7,6,7,8,7
151,4,5,6,7,2,7,8,7,4,7,8,7,5,5,7,7
152,4,5,6,7,2,6,8,7,5,6,8,7,5,6,7,7
153,4,5,6,7,0,7,8,7,2,7,8,7,2,6,8,7
154,2,6,6,7,0,6,8,7,1,4,8,7,5,6,8,7
155,2,5,6,7,0,4,8,7,0,5,8,7,0,5,8,7
156,6,5,7,7,5,5,8,7,5,6,8,7,6,7,8,7
157,4,6,7,7,4,6,6,7,5,6,7,7,5,6,7,7
158,4,5,6,7,1,5,8,7,3,6,8,7,6,8,8,7
159,2,5,8,7,2,5,7,7,2,5,8,7,6,7,8,7
160,2,5,8,7,2,7,8,7,2,7,8,7,2,6,7,7
161,2,5,8,7,0,4,8,7,0,7,8,7,3,8,8,7
162,2,5,8,7,5,5,8,7,5,6,7,7,6,7,8,7
