,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
91,0,1,3,8,0,0,6,7,0,1,6,7,0,2,8,7
92,0,1,3,7,0,0,6,7,0,2,8,7,0,3,9,7
93,0,1,4,7,0,1,6,7,0,2,7,7,0,1,8,7
94,0,1,6,7,0,1,8,7,0,2,9,7,0,1,8,7
95,0,1,3,7,0,0,7,7,0,2,6,7,0,1,7,7
96,0,1,3,7,0,1,4,7,0,1,7,7,0,0,6,7
97,1,2,4,9,0,2,2,8,0,2,4,7,0,1,6,7
98,0,1,4,7,0,0,7,8,0,1,7,7,0,1,6,7
99,2,4,6,8,0,0,4,8,0,2,7,7,0,1,4,7
100,0,1,4,7,0,0,7,7,0,1,7,7,0,0,6,7
101,0,0,5,7,0,0,7,7,0,0,7,7,0,0,4,7
102,2,4,6,7,0,1,4,8,0,0,4,7,0,1,6,8
103,0,0,4,8,0,0,4,8,0,1,7,7,0,0,6,7
104,0,1,4,7,0,0,6,7,0,1,7,7,0,2,9,7
105,0,1,6,7,0,1,4,7,0,1,7,7,0,0,7,7
106,1,4,6,8,0,0,6,7,0,0,7,7,0,2,8,8
107,1,4,6,7,0,1,7,7,0,1,8,7,0,2,7,7
108,2,4,6,8,0,1,7,8,0,2,7,8,0,2,6,7
109,2,4,6,8,0,1,6,7,0,1,6,7,0,1,6,7
110,1,4,6,8,0,0,6,8,0,1,7,7,0,2,7,7
111,0,2,6,7,0,0,7,7,0,2,8,7,0,0,9,7
112,1,2,4,8,0,1,6,8,0,1,9,7,0,2,9,7
113,2,2,6,7,0,1,7,7,0,2,9,7,0,1,7,7
114,2,4,6,6,0,4,7,7,0,4,7,7,0,4,8,7
115,2,4,6,7,0,2,9,7,0,2,6,7,0,5,9,7
116,2,4,6,7,0,2,7,7,0,2,9,7,0,4,9,7
117,2,4,6,7,0,2,9,7,0,2,8,7,0,2,9,7
118,0,2,9,7,0,0,9,7,0,4,9,7,0,2,9,7
119,0,2,4,7,0,1,8,7,0,2,9,7,0,3,9,7
120,0,2,6,8,0,2,6,8,0,4,9,7,1,4,7,7
121,2,4,6,8,0,4,6,8,1,2,8,7,0,2,8,7
122,2,5,8,8,0,2,8,7,0,4,9,7,0,2,9,7
123,2,4,8,7,0,4,8,7,0,2,7,7,0,2,8,7
124,0,2,8,7,0,3,9,7,0,1,9,7,0,5,8,7
125,0,1,6,7,0,1,8,7,0,2,9,7,0,2,9,7
126,0,5,9,8,1,5,8,7,0,5,9,7,1,5,8,7
127,0,2,6,8,0,2,8,7,0,4,8,7,2,4,9,7
128,2,5,8,7,0,4,8,7,0,7,9,7,0,4,8,7
129,2,4,6,6,0,1,7,7,1,2,9,7,0,5,9,7
130,2,4,6,7,0,1,8,7,0,5,7,7,0,6,9,7
131,2,4,6,7,0,4,9,7,0,4,9,7,0,4,9,7
132,4,4,6,8,1,6,7,8,4,6,9,8,4,5,9,7
133,2,5,9,7,0,2,9,7,1,6,9,7,2,6,9,7
134,2,5,8,7,0,3,8,7,1,5,9,7,0,4,9,7
135,2,4,6,7,0,4,9,8,2,5,9,7,0,4,9,7
136,2,5,8,8,0,6,9,7,0,4,7,7,1,6,9,7
137,0,4,8,7,0,6,9,7,0,5,9,7,2,5,9,7
138,2,5,9,7,2,6,9,7,5,5,9,7,5,6,9,7
139,0,4,8,7,0,5,9,7,1,5,9,7,2,6,9,7
140,4,6,6,7,0,4,9,7,2,6,9,7,0,7,9,7
141,2,5,8,7,0,5,9,7,0,4,9,7,0,5,9,7
142,2,5,6,8,0,5,9,7,0,6,9,7,1,6,9,7
143,2,4,8,7,0,6,9,7,0,4,9,7,0,5,9,7
144,5,5,8,7,2,5,8,7,5,6,9,7,5,6,9,7
145,2,5,8,8,0,5,8,8,2,6,9,7,4,5,9,7
146,2,5,8,7,2,5,9,7,1,6,9,7,2,6,9,7
147,2,6,8,7,0,6,9,7,2,4,9,7,2,7,9,7
148,4,6,8,7,0,6,8,7,0,6,8,7,1,6,9,8
149,2,5,8,7,0,5,9,7,0,5,9,7,0,7,9,7
150,6,5,9,8,4,5,9,8,5,6,9,7,5,7,9,7
151,4,5,8,8,2,6,9,7,4,6,9,7,5,5,9,7
152,4,5,8,7,2,6,9,7,4,5,9,7,5,6,9,7
153,4,5,8,8,0,6,9,8,1,6,9,7,2,6,9,7
154,2,6,8,8,0,5,9,7,1,4,9,7,4,6,9,7
155,2,5,8,8,0,4,9,7,0,4,9,7,0,5,8,7
156,6,5,9,8,5,5,9,8,5,6,9,8,6,7,9,8
157,4,6,9,8,4,5,8,8,5,6,9,7,5,6,9,7
158,4,5,8,7,1,5,9,7,3,6,9,8,5,7,8,7
159,2,5,9,8,2,5,9,7,2,5,9,7,5,7,9,7
160,2,4,9,8,2,6,9,8,2,6,9,8,2,6,9,7
161,2,5,9,8,0,4,9,7,0,6,7,7,2,7,9,7
162,2,5,9,8,5,5,9,7,5,8,9,7,6,9,8,7
163,2,5,9,7,5,7,9,8,5,6,9,7,5,8,9,7
164,0,5,9,7,5,5,9,7,4,6,9,7,5,7,9,7
165,2,6,9,8,4,7,8,7,5,5,8,7,5,7,9,7
166,0,5,9,7,2,5,9,7,2,6,9,7,1,6,9,7
167,0,6,9,8,0,6,9,7,2,6,9,7,5,5,8,7
168,5,6,9,8,5,6,9,8,6,6,9,7,6,6,9,7
169,4,5,9,8,4,5,9,7,4,6,9,7,6,5,9,7
170,2,5,9,8,4,6,9,8,5,6,9,7,5,6,9,7
171,2,6,9,7,4,5,9,7,4,6,9,7,4,6,9,7
172,1,6,9,7,1,6,9,7,1,6,9,7,4,6,8,7
173,0,6,8,7,0,5,9,8,3,5,9,7,4,6,9,7
174,5,5,9,8,4,5,9,8,6,7,9,7,5,8,9,7
175,5,5,8,7,5,6,9,8,5,7,9,7,4,6,9,8
176,0,6,8,7,5,5,9,8,4,6,9,7,5,7,9,7
177,1,5,9,7,5,6,9,7,3,6,9,7,6,7,9,7
178,0,6,9,7,2,6,9,7,4,7,7,7,4,7,8,7
179,0,4,9,8,2,7,9,7,1,6,9,7,4,5,9,7
180,6,6,9,8,5,7,9,8,6,7,9,7,6,7,9,7
181,5,7,9,8,4,5,9,8,5,6,9,7,5,5,8,7
182,4,5,8,8,4,5,9,8,3,6,9,7,5,7,9,7
183,4,6,9,7,2,5,9,8,5,5,9,7,4,6,9,7
184,1,5,8,7,1,6,9,7,2,5,9,7,4,9,9,7
185,0,5,7,8,1,6,9,8,0,6,9,7,5,8,9,7
186,5,5,9,8,5,6,9,7,6,9,7,7,6,6,9,8
187,5,6,9,8,5,6,9,7,5,6,9,8,6,8,9,7
188,0,5,9,7,2,6,9,8,5,7,8,7,5,7,9,7
189,2,7,8,8,4,5,9,7,5,6,9,7,5,7,8,7
190,2,5,8,7,4,5,8,7,4,7,9,7,6,6,9,7
191,2,5,9,7,1,5,9,7,4,6,9,7,2,7,9,7
192,4,7,9,7,5,6,9,8,6,7,9,7,8,7,9,8
193,4,6,9,8,5,5,9,7,5,6,9,8,6,6,9,7
194,4,6,9,7,5,5,9,8,4,7,9,7,6,7,8,7
195,4,4,9,8,2,6,9,7,4,7,9,7,6,7,8,7
196,2,6,8,7,2,5,9,8,4,8,9,7,5,6,8,7
197,0,5,9,8,4,5,9,7,4,6,9,7,5,6,9,7
198,5,6,9,7,5,5,9,7,5,7,9,7,6,9,9,7
199,5,8,9,8,5,6,9,7,6,6,9,8,6,6,9,7
200,4,7,9,7,5,6,9,7,5,5,9,7,5,9,9,7
201,5,5,9,8,4,5,9,7,5,6,9,7,5,9,8,7
202,1,4,9,7,4,8,9,7,4,8,7,7,5,6,9,7
203,2,5,8,8,2,7,9,7,5,6,9,7,5,8,8,7
204,6,6,9,7,5,8,9,7,5,8,9,7,5,6,8,7
205,5,7,8,7,5,8,9,7,5,8,9,7,5,7,9,7
206,2,8,8,7,5,7,8,7,5,8,8,7,5,8,8,7
207,4,6,9,7,4,7,9,7,4,7,8,7,5,9,7,7
208,2,8,9,8,3,6,9,7,4,8,8,7,2,9,8,7
209,4,8,9,7,4,6,9,7,4,9,9,7,4,7,7,7
210,4,8,9,7,6,5,9,7,4,6,9,7,7,7,9,7
211,4,5,8,8,2,6,8,7,6,6,9,7,6,7,8,7
212,2,5,9,7,5,6,9,7,2,5,7,7,5,7,9,7
213,2,6,9,7,2,6,8,7,1,7,9,7,5,7,9,7
214,2,5,9,7,1,6,8,7,2,4,8,7,4,7,8,7
215,0,4,9,7,0,6,8,7,2,7,9,7,4,7,8,7
216,2,5,9,7,4,6,9,7,5,6,8,7,6,8,9,7
217,1,5,9,7,2,4,8,7,5,6,9,8,5,6,8,7
218,2,6,8,7,2,6,9,7,4,6,8,7,5,6,8,7
219,0,2,8,7,2,5,9,7,2,6,9,7,4,6,9,7
220,1,5,8,7,2,5,8,7,4,5,8,7,5,5,8,7
221,1,4,9,7,2,6,8,7,4,5,9,7,2,9,8,7
222,5,5,7,7,5,5,9,7,5,5,8,7,5,7,8,7
223,4,6,9,7,2,5,8,7,4,5,9,7,5,8,8,7
224,1,5,8,7,2,5,9,7,4,6,7,7,5,5,7,7
225,4,4,9,7,1,5,9,7,2,5,9,7,4,8,8,7
226,1,5,8,7,1,5,8,7,4,7,8,7,4,6,8,7
227,1,5,8,7,2,6,8,7,1,5,9,7,2,9,8,7
228,2,5,9,7,5,5,9,7,4,6,9,7,6,6,9,7
229,2,5,8,8,2,5,9,7,1,5,9,7,4,5,9,7
230,2,5,9,7,1,5,9,7,4,5,9,7,4,9,9,7
231,1,2,6,8,1,4,9,8,0,6,9,7,4,6,8,7
232,2,6,9,7,1,6,9,7,2,6,9,7,1,4,9,7
233,0,3,9,8,1,5,9,7,0,4,9,7,2,6,9,7
234,4,5,9,7,5,6,9,7,5,8,8,7,5,9,8,7
235,0,5,9,8,2,6,9,7,5,5,9,7,5,6,9,7
236,2,6,9,7,2,5,9,7,4,6,8,7,4,7,8,7
