,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
91,0,0,2,5,0,0,4,6,0,0,4,6,0,1,4,6
92,0,0,2,6,0,0,4,6,0,1,4,6,0,2,4,6
93,0,0,2,6,0,0,4,6,0,1,4,6,0,0,4,6
94,0,0,3,6,0,0,4,6,0,1,4,6,0,0,4,6
95,0,0,2,6,0,0,4,6,0,1,4,6,0,0,4,6
96,0,0,2,6,0,0,3,6,0,0,4,6,0,0,4,6
97,0,1,2,4,0,1,2,6,0,1,2,6,0,0,4,6
98,0,0,2,4,0,0,4,6,0,0,4,6,0,0,4,6
99,1,2,3,5,0,0,2,6,0,1,4,6,0,0,3,6
100,0,0,2,5,0,0,4,6,0,0,4,6,0,0,4,6
101,0,0,2,5,0,0,4,6,0,0,4,6,0,0,4,6
102,1,2,3,5,0,0,3,6,0,0,3,6,0,0,4,6
103,0,0,2,6,0,0,3,6,0,0,4,6,0,0,4,6
104,0,0,2,6,0,0,4,6,0,0,4,6,0,1,4,6
105,0,0,3,6,0,0,2,6,0,0,4,6,0,0,4,6
106,0,2,3,5,0,0,4,6,0,0,4,6,0,1,4,6
107,0,2,3,4,0,0,4,6,0,0,4,6,0,1,4,6
108,1,2,3,5,0,0,4,6,0,1,4,6,0,1,4,6
109,1,2,3,5,0,0,3,6,0,0,4,6,0,0,4,6
110,0,2,3,5,0,0,4,5,0,0,4,6,0,1,4,6
111,0,1,3,6,0,0,4,6,0,1,4,6,0,0,4,6
112,0,1,2,5,0,0,4,5,0,0,4,6,0,1,4,6
113,1,1,3,5,0,0,4,6,0,1,4,6,0,0,4,6
114,1,2,3,4,0,2,4,6,0,2,4,6,0,2,4,6
115,1,2,3,5,0,1,4,6,0,1,4,6,0,2,4,6
116,1,2,3,5,0,1,4,6,0,1,4,6,0,2,4,6
117,0,2,3,5,0,1,4,6,0,2,4,6,0,1,4,6
118,0,1,4,6,0,0,4,6,0,2,4,6,0,1,4,6
119,0,1,2,6,0,0,4,6,0,1,4,6,0,2,4,6
120,0,1,3,6,0,1,4,5,0,2,4,6,0,2,4,6
121,1,2,3,5,0,2,3,6,0,1,4,6,0,1,4,6
122,1,2,3,5,0,1,4,6,0,2,4,6,0,1,4,6
123,1,2,3,5,0,2,4,6,0,1,4,6,0,1,4,6
124,0,1,4,6,0,1,4,6,0,0,4,6,0,2,5,6
125,0,0,3,6,0,0,4,6,0,1,4,6,0,1,4,6
126,0,2,4,6,0,2,4,6,0,2,4,6,0,2,4,6
127,0,1,3,6,0,1,4,6,0,2,4,6,1,2,4,6
128,1,2,3,5,0,2,4,6,0,3,4,6,0,2,4,6
129,1,2,3,4,0,0,4,6,0,1,4,6,0,2,4,6
130,1,2,3,5,0,0,4,6,0,2,4,6,0,2,4,6
131,1,2,3,5,0,2,4,6,0,2,4,6,0,2,4,6
132,2,2,3,4,0,2,3,5,2,2,4,6,2,2,4,6
133,1,2,4,5,0,1,4,6,0,2,4,6,0,2,4,6
