,3000_1m,4000_1m,5000_1m,6000_1m,3000_3m,4000_3m,5000_3m,6000_3m,3000_6m,4000_6m,5000_6m,6000_6m,3000_12m,4000_12m,5000_12m,6000_12m
91,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
92,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7
93,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7
94,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
95,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
96,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
97,6,7,6,7,6,7,6,7,7,7,7,7,7,7,7,7
98,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
99,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7
100,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
101,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
102,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7
103,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
104,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
105,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
106,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
107,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
108,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
109,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
110,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
111,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
112,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
113,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
114,7,7,6,7,7,6,6,7,7,7,7,7,7,7,7,7
115,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7
116,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
117,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
118,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
119,6,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7
120,6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7
121,6,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7
122,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
123,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
124,6,7,6,7,6,6,6,7,7,7,7,7,7,7,7,7
125,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
126,6,6,5,6,7,6,6,7,7,7,7,7,7,7,7,7
127,5,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7
128,6,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7
129,6,6,5,7,6,6,5,7,6,6,6,7,7,7,7,7
130,5,5,5,6,5,5,5,5,7,7,7,7,7,7,7,7
131,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7
132,5,5,5,7,5,6,6,6,7,7,6,7,7,7,7,7
133,5,6,6,6,6,5,6,7,7,7,7,7,7,7,7,7
134,5,7,5,7,5,6,6,7,6,6,7,7,7,7,7,7
135,5,6,6,7,5,6,5,5,5,7,7,7,7,7,7,7
136,6,6,7,7,6,6,6,7,7,7,7,7,7,7,7,7
137,6,5,6,5,5,5,6,5,6,6,6,7,7,7,7,7
138,4,7,5,7,6,6,6,7,6,7,6,7,7,7,7,7
139,5,5,5,6,5,5,5,6,7,6,7,7,7,7,7,7
140,5,7,5,6,5,7,5,6,6,7,7,7,7,7,7,7
141,4,7,5,7,5,7,5,6,5,7,6,7,7,7,7,7
142,5,5,5,6,5,5,5,5,7,7,6,6,7,7,7,7
143,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7
144,5,5,6,7,5,5,6,7,7,6,7,7,7,7,7,7
145,4,6,6,7,6,6,6,7,6,7,6,7,7,7,7,7
146,5,5,5,6,5,6,6,6,6,7,7,7,7,7,7,7
147,4,5,5,5,6,6,5,7,7,7,7,7,7,7,7,7
148,2,5,5,5,5,5,5,6,7,6,7,7,7,7,7,7
149,5,5,5,5,5,6,5,6,6,7,7,7,7,7,7,7
150,4,5,5,6,5,5,5,6,6,7,7,7,7,7,7,7
151,4,5,5,5,5,5,6,5,6,7,7,7,7,7,7,7
152,4,6,5,7,5,6,6,7,7,7,6,7,7,7,7,7
153,1,5,4,6,5,5,6,6,6,7,7,7,7,7,7,7
154,2,5,5,5,5,6,5,6,7,7,6,7,7,7,7,7
155,3,4,4,5,5,5,5,6,6,7,7,7,7,7,7,7
156,2,4,5,6,5,5,5,6,6,7,6,7,7,7,7,7
157,2,5,5,4,6,6,5,7,6,6,7,7,7,7,7,7
158,4,4,5,4,6,5,5,7,6,6,7,7,7,7,7,7
159,2,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7
160,4,7,5,7,5,7,5,7,6,7,6,7,7,7,7,7
161,1,5,4,6,5,5,6,6,7,7,7,7,7,7,7,7
162,2,5,4,7,6,5,5,7,6,6,6,7,7,7,7,7
163,2,4,6,4,5,6,6,6,6,7,7,7,7,7,7,7
164,1,5,5,5,5,5,6,6,6,7,6,7,7,7,7,7
165,2,5,3,5,5,5,5,5,7,7,6,7,7,7,7,7
166,1,4,5,4,5,5,5,6,6,7,7,7,7,7,7,7
167,1,5,3,4,5,5,6,6,6,7,6,7,7,7,7,7
168,2,5,7,7,5,5,5,6,5,6,7,7,7,7,7,7
169,0,2,5,5,6,5,5,6,6,7,6,7,7,7,7,7
170,2,2,4,5,5,5,5,5,6,6,6,7,7,7,7,7
171,2,4,4,2,5,5,5,6,5,5,6,7,7,7,7,7
172,2,4,4,5,5,4,5,6,5,5,6,7,7,7,7,7
173,0,4,2,5,5,5,5,5,5,5,6,7,7,7,7,7
174,3,4,5,2,5,5,5,5,5,6,6,7,7,7,7,7
175,2,4,0,4,5,4,5,5,5,6,6,6,7,7,7,7
176,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7
177,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7
178,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7
179,2,4,5,5,5,5,5,6,7,7,7,7,7,7,7,7
180,4,5,5,5,5,6,5,6,7,7,7,7,7,7,7,7
181,4,5,5,5,5,5,6,6,7,7,6,7,7,7,7,7
182,4,5,5,5,5,5,5,5,7,6,7,7,7,7,7,7
183,2,5,5,4,5,5,6,5,7,7,7,7,7,7,7,7
184,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7
185,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7
186,4,5,5,5,5,5,5,6,7,6,7,7,7,7,7,7
187,4,5,5,5,5,5,6,5,7,7,7,7,7,7,7,7
188,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
189,4,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7
190,5,5,5,5,6,5,5,5,7,7,7,7,7,7,7,7
191,4,4,5,5,5,5,5,6,7,7,7,7,7,7,7,7
192,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
193,4,5,5,5,5,6,5,6,6,7,7,7,7,7,7,7
194,4,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7
195,4,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7
196,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7
197,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
198,5,5,5,5,6,5,6,7,7,7,7,7,7,7,7,7
199,4,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
200,5,5,5,5,5,5,5,6,7,7,6,7,7,7,7,7
201,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
202,5,5,5,5,5,5,5,6,7,5,7,7,7,7,7,7
203,4,5,2,5,4,5,5,7,7,7,7,7,7,7,7,7
204,4,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
205,4,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
206,4,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7
207,2,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
208,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7
209,4,5,5,5,5,5,6,5,7,6,7,7,7,7,7,7
210,4,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7
211,5,5,5,5,5,5,5,7,6,7,7,7,7,7,7,7
212,5,5,5,5,5,5,6,5,6,7,7,7,7,7,7,7
213,4,5,5,5,5,5,5,5,7,7,6,7,7,7,7,7
214,4,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7
215,2,2,5,5,5,5,5,5,7,7,7,7,7,7,7,7
216,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7
217,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7
218,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7
219,5,5,5,4,6,5,6,6,7,7,7,7,7,7,7,7
220,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
221,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7
222,5,5,5,5,6,5,6,6,7,7,7,7,7,7,7,7
223,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7
224,5,7,6,6,5,5,5,6,7,7,7,7,7,7,7,7
225,5,5,5,5,5,5,6,5,7,5,7,7,7,7,7,7
226,5,5,5,5,6,5,5,5,6,6,7,7,7,7,7,7
227,4,5,5,5,5,5,5,5,7,6,6,7,7,7,7,7
228,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
229,4,5,5,5,5,5,5,5,7,6,6,7,7,7,7,7
230,2,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7
231,4,5,5,5,5,5,6,5,6,6,7,7,7,7,7,7
232,5,5,7,6,5,5,7,6,7,7,7,7,7,7,7,7
233,2,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7
234,5,5,6,5,5,5,5,6,6,6,7,7,7,7,7,7
235,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7
236,5,5,4,5,5,5,6,5,6,6,7,7,7,7,7,7
237,4,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
238,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
239,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7
240,6,5,6,7,6,5,6,7,7,7,7,7,7,7,7,7
241,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7
242,5,5,5,5,5,5,5,6,5,7,6,6,7,7,7,7
243,5,5,5,5,5,5,5,6,5,7,6,7,7,7,7,7
244,5,6,5,5,5,5,5,5,6,6,6,7,7,7,7,7
245,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7
246,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7
247,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7
248,5,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7
249,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7
250,5,5,6,6,5,5,6,5,5,6,6,7,7,7,7,7
251,5,5,5,5,6,5,5,6,6,6,6,7,7,7,7,7
252,4,5,5,6,5,5,5,5,6,6,7,7,7,7,7,7
253,4,4,5,5,5,5,5,6,5,6,6,7,7,7,7,7
254,4,5,5,5,5,5,5,5,7,6,7,7,7,7,7,7
255,5,4,5,5,5,5,5,5,6,6,6,7,7,7,7,7
256,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7
257,7,7,6,6,7,5,7,7,7,7,7,7,7,7,7,7
258,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7
259,7,6,7,7,7,6,6,6,7,7,7,7,7,7,7,7
260,7,6,6,6,7,5,6,6,7,7,7,7,7,7,7,7
261,6,7,6,6,6,5,6,5,7,7,6,7,7,7,7,7
262,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7
263,6,5,5,7,5,5,6,7,7,7,7,7,7,7,7,7
264,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
265,7,7,6,7,6,6,6,7,7,7,7,7,7,7,7,7
266,6,6,7,6,6,6,7,6,6,7,7,7,7,7,7,7
267,6,6,5,5,6,5,6,7,7,5,7,7,7,7,7,7
268,5,6,7,6,5,6,6,6,6,6,7,7,7,7,7,7
269,6,7,6,6,5,6,7,6,7,7,7,7,7,7,7,7
270,6,6,6,5,6,5,5,5,7,7,7,7,7,7,7,7
