,3000_1m,3000_3m,3000_6m,3000_12m,4000_1m,4000_3m,4000_6m,4000_12m,5000_1m,5000_3m,5000_6m,5000_12m,6000_1m,6000_3m,6000_6m,6000_12m
91,9,9,8,8,8,9,8,7,9,9,8,7,9,9,7,7
92,8,8,9,7,9,9,8,7,9,9,8,7,9,9,8,7
93,9,9,9,8,7,9,8,7,8,9,8,7,9,8,8,7
94,9,9,8,8,8,9,8,8,9,9,8,7,9,9,8,7
95,8,8,9,8,8,9,8,7,8,9,8,7,8,9,8,7
96,9,8,8,8,8,9,8,7,9,7,8,7,9,7,8,7
97,8,8,8,8,9,9,8,7,8,8,8,7,9,9,8,7
98,9,9,8,8,9,9,8,7,9,9,8,7,9,9,8,7
99,8,9,8,8,9,9,8,7,9,9,8,7,8,9,8,7
100,9,9,8,8,8,9,8,7,8,8,8,7,9,9,8,7
101,8,9,8,7,9,9,8,7,9,9,8,7,9,9,8,7
102,9,9,9,8,9,9,8,7,8,8,8,7,9,9,8,7
103,8,9,9,8,9,9,8,7,9,9,8,7,9,8,8,7
104,9,9,8,8,9,9,8,8,9,9,8,7,9,9,8,7
105,8,9,8,8,9,9,8,8,8,9,8,7,9,9,8,7
106,8,9,8,8,9,9,8,8,9,9,8,7,9,8,8,7
107,9,9,8,8,9,9,8,7,8,7,8,7,9,9,8,7
108,9,9,8,8,9,9,8,7,9,8,8,7,9,9,8,7
109,9,9,8,8,9,9,8,7,8,9,8,7,9,9,8,7
110,9,9,8,8,9,9,8,7,9,9,8,8,9,9,8,7
111,8,9,8,7,9,9,8,7,8,9,8,7,9,9,8,7
112,7,9,8,8,9,9,8,7,8,9,8,7,9,9,8,7
113,9,9,9,8,9,9,8,7,8,9,8,7,9,9,8,7
114,9,9,9,7,9,8,8,7,8,8,8,7,9,9,8,7
115,8,8,9,7,9,9,8,8,9,9,8,7,8,9,8,7
116,8,9,8,7,9,9,8,7,9,9,8,7,9,9,8,7
117,7,9,8,7,7,9,8,7,7,9,8,7,9,9,8,7
118,8,9,8,7,9,9,9,7,8,9,8,7,9,9,8,7
119,8,9,9,7,9,9,9,8,7,9,8,7,9,9,8,7
120,8,9,8,8,9,8,8,7,8,9,8,7,9,9,8,7
121,8,9,9,8,9,8,8,7,8,9,8,7,9,9,8,7
122,8,9,8,8,8,9,9,8,8,9,7,7,9,9,8,7
123,8,9,8,7,9,9,8,7,9,9,8,7,9,9,8,7
124,8,8,9,8,9,8,8,7,8,8,9,7,9,9,8,7
125,9,9,9,8,9,9,9,8,8,9,8,7,9,9,8,7
126,8,9,9,8,8,8,9,7,7,8,9,7,8,9,7,7
127,7,9,8,8,8,8,8,7,8,9,9,7,8,9,8,7
128,8,9,9,8,9,8,9,7,9,9,9,7,9,8,9,7
129,8,8,8,7,8,8,7,8,7,7,8,7,9,9,9,7
130,7,7,9,8,7,7,9,7,7,7,9,7,8,7,7,7
131,8,8,9,8,8,9,9,7,9,9,9,7,9,9,9,7
132,7,7,9,7,7,8,9,7,7,8,8,7,9,8,7,7
133,7,8,9,8,8,7,9,7,8,8,9,7,8,9,8,7
134,7,7,8,8,9,8,8,7,7,8,9,7,9,9,9,7
135,7,7,7,8,8,8,9,8,8,7,8,7,9,7,8,7
136,8,8,9,8,8,8,9,7,9,8,9,7,9,9,9,7
137,8,7,8,8,7,7,8,7,6,8,8,7,7,7,9,7
138,6,8,8,8,9,8,9,8,7,8,8,7,9,9,9,7
139,5,7,9,8,7,7,8,8,7,7,9,7,8,8,8,7
140,7,7,8,8,9,9,9,7,5,7,9,7,6,8,9,7
141,6,7,7,8,9,9,9,7,7,7,8,7,7,8,9,7
142,7,7,9,8,7,7,9,7,7,7,8,7,8,7,7,7
143,7,7,8,8,7,8,9,7,5,8,9,7,7,8,8,7
144,7,7,9,8,5,7,8,8,8,8,8,7,7,9,8,7
145,4,8,8,8,6,8,9,7,6,8,8,7,7,9,9,7
146,5,7,8,8,5,8,9,7,5,8,9,7,6,8,8,7
147,4,8,9,8,5,8,9,7,5,7,9,7,5,9,9,7
148,2,7,9,8,5,7,8,7,5,7,9,7,5,8,9,7
149,7,7,8,8,5,8,9,7,5,7,9,7,5,8,8,7
150,4,7,8,8,5,7,9,7,5,7,9,7,6,8,8,7
151,6,7,8,7,5,7,9,7,5,8,9,7,5,7,9,7
152,4,7,9,8,6,8,9,7,5,8,8,7,7,9,9,7
153,1,7,8,8,5,7,9,7,4,8,9,7,8,8,8,7
154,2,7,9,7,5,8,9,7,5,7,8,7,5,8,9,7
155,3,7,8,7,4,7,9,7,4,7,9,7,5,8,8,7
156,2,5,8,8,4,7,9,7,5,7,8,7,6,8,9,7
157,2,8,8,7,5,8,8,7,5,7,9,7,4,9,8,7
158,4,8,8,8,4,7,8,7,5,7,9,7,4,9,9,7
159,2,7,8,8,5,7,8,7,5,7,7,7,5,8,9,7
160,4,5,8,8,7,9,9,7,5,7,8,7,9,9,9,7
161,1,7,9,8,5,7,9,7,4,8,9,7,6,8,9,7
162,2,8,8,8,5,7,8,7,4,7,8,7,7,9,9,7
163,2,7,8,7,4,8,9,7,6,8,9,7,4,8,9,7
164,1,7,8,7,5,7,9,7,5,8,8,7,5,8,8,7
165,2,7,9,7,5,7,9,7,3,7,8,7,5,7,9,7
166,1,7,8,7,4,7,9,7,5,7,8,7,4,8,8,7
167,1,7,8,7,5,7,9,7,3,8,8,7,4,8,9,7
168,2,7,7,7,5,7,8,7,7,7,9,7,7,8,9,7
169,0,6,8,8,2,7,9,7,5,7,8,7,5,8,9,7
170,2,5,8,8,2,7,8,7,4,7,8,7,5,7,9,7
171,2,5,7,8,4,7,7,7,4,7,8,7,2,8,9,7
172,2,7,7,8,4,4,7,8,4,7,8,8,5,8,9,7
173,0,5,7,8,4,7,7,7,2,7,6,7,5,7,9,7
174,3,5,7,8,4,5,8,7,5,5,8,7,2,7,7,7
175,2,7,7,7,4,6,8,7,0,5,8,7,4,7,7,7
176,7,7,9,8,7,7,9,7,7,7,8,7,7,8,8,7
177,5,7,9,8,5,7,9,8,5,7,9,7,5,8,8,7
178,5,7,9,7,5,5,9,8,5,8,9,7,5,9,9,8
179,2,7,9,8,4,7,9,7,5,7,8,7,5,8,8,7
180,4,7,9,8,5,8,9,7,5,7,9,7,5,8,9,7
181,4,7,9,8,5,7,9,7,5,8,8,7,5,8,8,7
182,4,7,9,8,5,5,8,7,5,7,9,7,5,7,8,7
183,2,7,9,7,5,7,9,7,5,8,9,7,4,7,7,7
184,5,7,9,8,5,7,9,8,7,8,8,8,7,8,8,7
185,5,7,8,8,5,7,9,7,5,7,9,7,5,7,8,7
186,4,7,9,8,5,7,8,8,5,7,9,7,5,8,7,7
187,4,5,9,8,5,7,9,8,5,8,9,7,5,7,8,7
188,5,7,9,8,5,7,9,7,5,7,9,7,5,7,8,7
189,4,7,8,8,5,7,9,7,5,7,9,7,5,7,8,7
190,5,8,9,7,5,7,9,7,5,7,9,7,5,7,8,7
191,4,7,9,8,4,7,9,7,5,7,9,7,5,8,8,7
192,7,7,9,8,5,7,9,8,5,7,9,7,7,7,7,7
193,4,7,8,8,5,8,9,7,5,7,9,7,5,8,8,7
194,4,7,9,8,5,7,9,7,5,7,9,7,5,8,7,7
195,4,7,9,8,5,7,9,7,5,8,9,7,5,8,8,7
196,5,7,9,8,5,7,9,7,5,7,7,7,5,8,8,7
197,5,7,9,7,5,7,9,7,5,7,9,7,5,7,7,7
198,5,8,9,7,5,7,8,7,5,8,9,7,5,9,8,7
199,4,7,9,8,5,7,8,7,5,5,9,7,5,7,7,7
200,5,7,9,8,5,7,9,7,5,7,8,7,7,8,8,7
201,5,7,9,8,5,7,9,7,5,7,9,7,5,7,8,7
202,5,7,9,7,5,7,7,7,5,7,9,7,5,8,8,7
203,4,6,9,8,5,7,9,7,2,5,9,7,5,9,8,7
204,4,7,9,8,5,7,9,8,5,7,9,7,7,7,8,7
205,4,5,9,8,5,7,9,8,5,7,8,7,5,7,8,7
206,4,5,8,8,5,5,9,7,5,7,9,7,5,7,8,7
207,2,7,9,8,5,7,9,7,5,7,9,8,5,7,9,7
208,5,7,9,8,5,7,8,7,7,7,9,7,7,8,9,7
209,4,7,9,8,5,7,8,7,5,8,9,7,5,7,9,7
210,4,7,9,8,5,7,9,7,5,7,9,7,5,8,9,7
211,5,7,8,8,5,7,9,7,5,7,9,7,5,9,8,7
212,5,7,8,8,5,7,9,7,5,8,9,7,5,7,8,7
213,4,7,9,8,5,7,9,7,5,7,8,7,5,7,9,7
214,4,7,8,8,5,7,8,8,5,7,9,8,5,8,9,7
215,2,7,9,8,2,7,9,7,5,7,9,7,5,7,8,7
216,7,8,9,8,7,8,8,7,7,8,9,7,8,8,8,7
217,5,7,9,8,7,7,9,7,5,8,8,7,5,8,8,7
218,5,7,9,8,5,7,9,7,5,8,7,7,5,9,8,7
219,5,8,9,8,5,7,9,7,5,8,9,7,4,8,8,7
220,5,7,9,8,5,7,9,8,5,7,9,7,7,7,7,7
221,4,7,8,8,5,7,9,7,5,8,9,7,7,8,7,7
222,5,8,9,8,5,7,8,7,5,8,8,7,5,8,8,7
223,4,7,8,7,5,7,7,7,5,7,9,7,5,7,8,7
224,7,7,8,7,9,7,8,7,8,7,8,7,8,8,7,7
225,7,7,8,7,7,7,6,7,7,7,7,7,7,6,7,7
226,7,7,6,7,5,7,7,7,7,6,7,7,7,7,7,7
227,6,7,7,7,7,7,7,7,7,5,6,7,7,5,7,7
228,7,7,8,7,5,7,8,7,7,7,8,7,7,7,7,7
229,6,7,7,7,5,7,7,7,7,7,6,7,7,6,7,7
230,2,7,8,7,5,7,7,7,7,6,8,7,7,7,7,7
231,6,7,7,7,7,7,6,7,7,7,7,7,7,5,7,7
232,7,7,8,7,7,7,8,7,9,9,8,7,8,8,7,7
233,4,7,7,7,7,7,8,7,7,7,8,7,7,7,7,7
234,7,7,7,7,7,7,7,7,8,7,8,7,7,8,7,7
235,6,7,6,7,5,7,7,7,7,6,7,7,7,6,7,7
236,5,7,8,7,5,7,7,7,6,8,8,7,7,6,7,7
237,4,7,8,7,7,7,8,7,7,7,7,7,7,7,7,7
238,7,7,8,7,5,7,8,7,7,7,8,7,7,7,8,7
239,6,7,7,7,4,7,7,7,7,6,8,7,5,8,7,7
240,8,8,8,7,7,7,8,7,8,8,8,7,9,9,7,7
241,7,7,6,7,7,7,7,7,7,7,8,7,7,6,8,7
242,7,7,6,7,5,7,8,7,7,7,7,7,7,7,6,7
243,7,7,6,7,5,7,7,7,5,7,7,7,7,6,7,7
244,7,7,7,7,8,7,7,7,7,7,6,7,7,6,7,7
245,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7
246,5,7,6,7,5,7,6,7,7,6,8,7,7,5,7,7
247,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7
248,7,8,8,7,9,8,8,7,9,8,8,7,8,8,8,7
249,7,7,7,7,7,7,7,7,7,7,8,7,7,7,8,7
250,7,7,6,7,5,7,7,7,8,8,7,7,8,7,8,7
251,7,8,8,7,5,7,6,7,7,7,6,7,7,7,7,7
252,6,7,7,7,7,7,7,7,7,6,7,7,8,7,8,7
253,4,7,6,7,4,7,7,7,7,7,7,7,5,8,8,7
254,6,7,8,7,5,7,6,7,7,7,7,7,7,7,7,7
255,7,7,7,7,4,7,7,7,5,7,6,7,7,6,7,7
256,9,9,8,7,9,6,7,7,8,8,7,7,8,8,8,7
257,9,9,8,7,9,7,8,7,8,8,8,7,8,8,8,7
258,9,8,8,7,9,8,8,7,8,7,8,7,9,8,7,7
259,9,9,8,7,8,8,8,7,9,8,8,7,9,8,8,7
260,9,9,8,7,8,6,8,7,8,7,8,7,8,6,7,7
261,8,8,8,7,9,7,8,7,8,7,7,7,8,6,8,7
262,8,9,8,7,9,8,8,7,9,8,8,7,9,9,8,7
263,8,7,8,7,7,7,8,7,7,8,8,7,9,8,8,7
264,9,8,8,7,9,9,8,7,8,8,8,7,7,8,7,7
265,9,8,8,7,9,8,8,7,8,8,8,7,9,9,8,7
266,8,7,6,7,8,7,8,7,9,9,8,7,8,8,7,7
267,8,7,8,7,8,6,6,7,7,6,8,7,7,8,7,7
268,7,7,7,7,8,8,7,7,9,8,8,7,8,7,7,7
269,8,6,8,7,9,8,8,7,8,9,7,7,8,6,7,7
270,8,8,8,7,8,7,8,7,8,6,7,7,7,6,7,7
271,8,7,7,7,8,7,7,7,8,7,7,7,8,7,7,7
272,8,8,8,7,8,8,7,7,8,8,7,7,6,8,7,7
273,8,7,7,7,8,8,7,7,9,8,7,7,9,8,7,7
274,8,7,8,7,8,7,8,7,8,8,7,7,9,8,8,7
275,8,8,7,7,7,7,7,7,7,7,7,7,7,8,7,7
276,8,8,7,7,7,7,7,7,8,8,7,7,7,8,7,7
277,8,8,7,7,7,8,7,7,8,7,7,7,7,7,7,7
278,8,8,8,7,7,7,7,7,8,7,7,7,8,8,7,7
279,8,9,8,7,7,6,7,7,8,8,7,7,8,8,7,7
